"编号","开始答题时间","结束答题时间","自定义字段","1.你有使用空调的习惯吗？","2.【夏季】当温度达到多少度时会选择开空调","3.【夏季】在开空调时会把温度调到几度？","4.是否清楚空调制冷制热对环境的危害","5.您觉得使用空调对环境的影响有哪些？:全球变暖","5.您觉得使用空调对环境的影响有哪些？:全球气候变化","5.您觉得使用空调对环境的影响有哪些？:臭氧层破坏","5.您觉得使用空调对环境的影响有哪些？:酸化","5.您觉得使用空调对环境的影响有哪些？:富营养化","5.您觉得使用空调对环境的影响有哪些？:珊瑚白化","5.您觉得使用空调对环境的影响有哪些？:海龟雌雄比例失衡","5.您觉得使用空调对环境的影响有哪些？:其他____","5.您觉得使用空调对环境的影响有哪些？:其他____[选项填空]",
"76","2018-05-01 14:12:11","2018-05-01 14:13:00","","A.有","C.26～30度","A.20度以下","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","","","","","",
"77","2018-05-01 14:19:08","2018-05-01 14:19:39","","A.有","B.21～25度","B.21～24度","B.不太清楚","","","","","","","","","",
"78","2018-05-01 14:40:14","2018-05-01 14:41:23","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"79","2018-05-01 15:04:21","2018-05-01 15:04:38","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"80","2018-05-01 15:24:46","2018-05-01 15:25:00","","A.有","C.26～30度","B.21～24度","B.不太清楚","","","","","","","","","",
"81","2018-05-01 15:49:31","2018-05-01 15:51:53","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"82","2018-05-01 16:09:47","2018-05-01 16:10:56","","A.有","D.30度以上","B.21～24度","A.清楚","","B.全球气候变化","","","","","","","",
"83","2018-05-01 18:01:18","2018-05-01 18:02:10","","B.没有","D.30度以上","C.25~27度","C.不清楚","","","","","","","","","",
"84","2018-05-01 18:03:34","2018-05-01 18:04:06","","A.有","D.30度以上","D.28度及以上","A.清楚","","","C.臭氧层破坏","","","","","","",
"85","2018-05-01 19:21:07","2018-05-01 19:21:32","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"86","2018-05-01 20:03:04","2018-05-01 20:03:27","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","E.富营养化","F.珊瑚白化","G.海龟雌雄比例失衡","","",
"87","2018-05-01 20:05:31","2018-05-01 20:06:32","","A.有","B.21～25度","B.21～24度","B.不太清楚","","","","","","","","","",
"88","2018-05-01 20:07:26","2018-05-01 20:08:55","","A.有","D.30度以上","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","","","","","",
"89","2018-05-01 20:29:33","2018-05-01 20:29:47","","A.有","D.30度以上","C.25~27度","B.不太清楚","","","","","","","","","",
"90","2018-05-01 20:30:24","2018-05-01 20:31:00","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"91","2018-05-01 20:35:31","2018-05-01 20:36:16","","A.有","B.21～25度","A.20度以下","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"92","2018-05-01 23:20:46","2018-05-01 23:21:38","","A.有","D.30度以上","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"93","2018-05-02 07:54:33","2018-05-02 07:57:04","","A.有","A.20度以下","D.28度及以上","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","E.富营养化","F.珊瑚白化","G.海龟雌雄比例失衡","H.其他","便秘",
"94","2018-05-02 10:41:25","2018-05-02 10:43:20","","B.没有","D.30度以上","D.28度及以上","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","E.富营养化","F.珊瑚白化","G.海龟雌雄比例失衡","H.其他","",
"95","2018-05-02 19:43:53","2018-05-02 19:44:50","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"96","2018-05-02 19:46:50","2018-05-02 19:47:13","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","E.富营养化","","","","",
"97","2018-05-02 19:49:26","2018-05-02 19:49:49","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"98","2018-05-02 20:16:26","2018-05-02 20:16:51","","A.有","B.21～25度","B.21～24度","A.清楚","","","","","E.富营养化","F.珊瑚白化","G.海龟雌雄比例失衡","","",
"99","2018-05-02 20:20:45","2018-05-02 20:21:01","","A.有","C.26～30度","B.21～24度","B.不太清楚","","","","","","","","","",
"100","2018-05-02 20:25:53","2018-05-02 20:26:09","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"101","2018-05-02 20:29:32","2018-05-02 20:30:05","","A.有","C.26～30度","C.25~27度","A.清楚","","B.全球气候变化","","","","","","","",
"102","2018-05-02 20:50:03","2018-05-02 20:50:26","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"103","2018-05-02 20:59:15","2018-05-02 21:00:08","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","","","","","","","",
"104","2018-05-02 22:26:14","2018-05-02 22:26:29","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","G.海龟雌雄比例失衡","","",
"105","2018-05-03 16:58:21","2018-05-03 16:59:31","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"106","2018-05-03 17:46:01","2018-05-03 17:46:15","","A.有","C.26～30度","C.25~27度","C.不清楚","","","","","","","","","",
"107","2018-05-03 17:53:24","2018-05-03 17:53:40","","A.有","B.21～25度","C.25~27度","C.不清楚","","","","","","","","","",
"108","2018-05-03 18:02:13","2018-05-03 18:02:41","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"109","2018-05-03 18:02:56","2018-05-03 18:03:58","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"110","2018-05-03 18:25:01","2018-05-03 18:25:25","","A.有","D.30度以上","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","E.富营养化","F.珊瑚白化","G.海龟雌雄比例失衡","","",
"111","2018-05-03 23:23:23","2018-05-03 23:23:31","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"112","2018-05-04 18:17:35","2018-05-04 18:19:37","","A.有","C.26～30度","A.20度以下","B.不太清楚","","","","","","","","","",
"113","2018-05-06 11:58:36","2018-05-06 11:59:00","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","G.海龟雌雄比例失衡","","",
